_id,username,champion,discordId,grandFinal.A,grandFinal.B,grandFinal.winner,lower.L1.A,lower.L1.B,lower.L2.A,lower.L2.B,lower.L3.A,lower.L3.B,lower.L4.A,lower.L4.B,lower.L5.A,lower.L5.B,lower.L6.A,lower.L6.B,updated_at,upper.U1.A,upper.U1.B,upper.U2.A,upper.U2.B,upper.U3.A,upper.U3.B,upper.U4.A,upper.U4.B,upper.U5.A,upper.U5.B,upper.U6.A,upper.U6.B,upper.U7.A,upper.U7.B
6904f532603847962eef36b7,shiftiehere,MOI,.shiftiehere,MOI,VLD,MOI,PS,BSG,TMG,CPG,BSG,J4F,TMG,J97,BSG,TMG,BSG,VLD,2025-11-06T07:09:09.670Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,MOI,VLD
690ac37cc69db644da1506f1,Poro,TMG,smol_kai,TMG,MOI,TMG,PS,BSG,J97,CPG,BSG,J4F,J97,VLD,J4F,VLD,J4F,MOI,2025-11-05T03:25:11.925Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,TMG,VLD,MOI,TMG
690ac396c69db644da1506f2,soir,J97,true.shrimp.1907,J97,TMG,J97,PS,BSG,TMG,CPG,PS,,TMG,,,TMG,TMG,,2025-11-05T03:25:37.427Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,MOI,J97
690ac3d2c69db644da1506f3,r3xz1mao,PS,zx3r_me,PS,MOI,PS,MOI,BSG,TMG,CPG,MOI,J4F,CPG,VLD,MOI,VLD,MOI,J97,2025-11-05T03:29:40.296Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,VLD,PS,J97
690ac435c69db644da1506f5,melkuroginn201104,PS,melkuroginn2011,PS,MOI,PS,MOI,BSG,TMG,VLD,MOI,J4F,TMG,CPG,MOI,CPG,MOI,J97,2025-11-05T03:28:16.902Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,CPG,PS,J97
690ac5edc69db644da1506f7,whitefox,MOI,whitefoxseiso#2000,MOI,,MOI,PS,J4F,TMG,VLD,PS,BSG,TMG,J97,BSG,TMG,BSG,CPG,2025-11-05T03:35:36.896Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,CPG,MOI,CPG
690ac853c69db644da1506fb,dorankun1,MOI,doran236,MOI,CPG,MOI,PS,J4F,TMG,VLD,PS,BSG,VLD,CPG,BSG,CPG,CPG,J97,2025-11-05T03:45:51.347Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,CPG,MOI,J97
690ac8cac69db644da1506fd,toilafadex,CPG,daylafadex,CPG,J4F,CPG,PS,BSG,TMG,VLD,PS,MOI,TMG,,MOI,,,J4F,2025-11-05T03:47:49.934Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,CPG,J4F,CPG
690ac9d3c69db644da1506ff,Nas,J4F,nasciin,J97,J4F,J4F,MOI,J4F,TMG,VLD,J4F,PS,TMG,CPG,J4F,CPG,J4F,BSG,2025-11-05T03:52:18.894Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,CPG,BSG,J97
690aca24c69db644da150700,tho san femboi,MOI,rinne,MOI,CPG,MOI,PS,J4F,J97,VLD,PS,BSG,VLD,CPG,BSG,CPG,CPG,TMG,2025-11-05T03:53:36.135Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,CPG,MOI,TMG
